Binning time durations in us

   0,       7639
   1,       7854
   2,       7992
   3,       7600
   4,       7671
   5,       6894
   6,      14490
   7,      13500
   8,       7935
   9,       7590
  10,       8008
  11,       7545
  12,       7800
  13,       6963
  14,       6936
  15,       7148
  16,       8705
  17,       8357
  18,       7978
  19,       6963
  20,       6967
  21,       6717
  22,       6673
  23,       7537
  24,       8111
  25,      10127
  26,      10674
  27,       8766
  28,      10779
  29,      10779
  30,      10200
  31,       8298
  32,      12812
  33,       9079
  34,      13800
  35,       8582
  36,       7740
  37,       7948
  38,      10503
  39,      10972
  40,      14852
  41,      10997
  42,       8453
  43,       9659
  44,       8585
  45,      10402
  46,      10516
  47,      10290
  48,       6815
  49,      10156
  50,      10382
  51,      10103
  52,      10256
  53,       9531
  54,       6742
  55,      15479
  56,       6857
  57,       7976
  58,       7720
  59,       8304
  60,      18169
  61,       8371
  62,       7929
  63,       9212
  64,      10423
  65,       8857
  66,      10329
  67,      10530
  68,       7485
  69,      14152
  70,       8313
  71,      10529
  72,       9041
  73,       7634
  74,       9491
  75,       8165
  76,      14737
  77,       9191
  78,       7147
  79,       8245
  80,      11440
  81,      11449
  82,      10384
  83,      11272
  84,       8410
  85,       8523
  86,       8358
  87,      10981
  88,      11425
  89,       8419
  90,      16956
  91,       8487
  92,      14005
  93,       8624
  94,       9265
  95,       8420
  96,       9170
  97,       9893
  98,       7319
  99,       9649
